location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC5,82.5,2016-04-16 22:00:00,1.27146,2016-04-16T23:47:32.000+0000,51.49019756,-0.190863311,1460850511635 
KC5,80.4,2016-04-16 10:00:00,8.20279,2016-04-16T11:47:29.000+0000,51.49019756,-0.190863311,1460807311206 
KC3,69.7,2016-04-13 21:00:00,0.01116,2016-04-17T03:02:32.000+0000,51.49913951,-0.164337605,1460862211745 
KC4,67.5,2016-04-17 01:00:00,0.89353,2016-04-17T03:02:32.000+0000,51.48743685,-0.168397129,1460862211745 
KC5,69.6,2016-04-17 01:00:00,0,2016-04-17T03:02:32.000+0000,51.49019756,-0.190863311,1460862211745 
KC4,29.7,2016-04-16 01:00:00,0,2016-04-16T02:33:21.000+0000,51.48743685,-0.168397129,1460774010958 
KC5,32.9,2016-04-16 01:00:00,0.25562,2016-04-16T02:33:21.000+0000,51.49019756,-0.190863311,1460774010958 
KC4,75.9,2016-04-16 23:00:00,2.93447,2016-04-17T00:17:32.000+0000,51.48743685,-0.168397129,1460852311662 
KC5,81,2016-04-16 23:00:00,2.09552,2016-04-17T00:17:32.000+0000,51.49019756,-0.190863311,1460852311662 
KC3,69.7,2016-04-13 21:00:00,4.57994,2016-04-17T00:17:32.000+0000,51.49913951,-0.164337605,1460852311662 
KC5,81.6,2016-04-16 14:00:00,4.62074,2016-04-16T15:32:30.000+0000,51.49019756,-0.190863311,1460820811363 
KC4,47,2016-04-17 03:00:00,0.35819,2016-04-17T04:17:32.000+0000,51.48743685,-0.168397129,1460866711796 
KC5,69.6,2016-04-17 01:00:00,0,2016-04-17T02:32:32.000+0000,51.49019756,-0.190863311,1460860411736 
KC4,51,2016-04-16 09:00:00,5.72667,2016-04-16T11:02:29.000+0000,51.48743685,-0.168397129,1460804611161 
KC3,69.7,2016-04-13 21:00:00,7.06792,2016-04-16T11:02:29.000+0000,51.49913951,-0.164337605,1460804611161 
KC4,48.3,2016-04-16 10:00:00,4.83659,2016-04-16T12:02:29.000+0000,51.48743685,-0.168397129,1460808211220 
KC3,69.7,2016-04-13 21:00:00,6.00214,2016-04-16T12:02:29.000+0000,51.49913951,-0.164337605,1460808211220 
KC3,69.7,2016-04-13 21:00:00,0.89925,2016-04-15T22:48:19.000+0000,51.49913951,-0.164337605,1460760510871 
KC5,72.6,2016-04-16 15:00:00,5.83173,2016-04-16T16:32:30.000+0000,51.49019756,-0.190863311,1460824411399 
KC3,69.7,2016-04-13 21:00:00,0.0632,2016-04-17T04:47:33.000+0000,51.49913951,-0.164337605,1460868511823 
KC4,38.5,2016-04-17 09:00:00,3.89217,2016-04-17T10:17:33.000+0000,51.48743685,-0.168397129,1460888312014 
KC4,42.3,2016-04-17 04:00:00,0.34412,2016-04-17T06:17:33.000+0000,51.48743685,-0.168397129,1460873911884 
KC5,60.8,2016-04-17 04:00:00,0.41515,2016-04-17T06:17:33.000+0000,51.49019756,-0.190863311,1460873911884 
KC3,69.7,2016-04-13 21:00:00,3.69952,2016-04-17T10:47:33.000+0000,51.49913951,-0.164337605,1460890112032 
KC4,77.8,2016-04-17 00:00:00,1.441,2016-04-17T01:47:31.000+0000,51.48743685,-0.168397129,1460857711717 
KC3,69.7,2016-04-13 21:00:00,0.13101,2016-04-17T01:47:31.000+0000,51.49913951,-0.164337605,1460857711717 
KC5,55.1,2016-04-16 12:00:00,6.97116,2016-04-16T13:32:29.000+0000,51.49019756,-0.190863311,1460813611287 
KC3,69.7,2016-04-13 21:00:00,4.49466,2016-04-16T18:32:32.000+0000,51.49913951,-0.164337605,1460831611441 
KC5,99.7,2016-04-16 17:00:00,6.19843,2016-04-16T18:32:32.000+0000,51.49019756,-0.190863311,1460831611441 
